tabla,atributo,tipo_dato,descripcion,nulos,no_nulos,valores_distintos,ejemplo_valor,comparable_2022_2024
resumen_matricula_2024,AGNO,Int64,Anio del registro.,0,16694,1,2024,1
resumen_matricula_2024,COD_COM_RBD,int64,Codigo de comuna del establecimiento.,0,16694,346,15101,1
resumen_matricula_2024,COD_DEPE,int64,Codigo de dependencia administrativa (nivel general).,0,16694,6,6,1
resumen_matricula_2024,COD_DEPE2,string,Codigo de dependencia administrativa (clasificacion oficial).,0,16694,5,5,1
resumen_matricula_2024,COD_DEPROV_RBD,int64,Codigo del departamento provincial de educacion.,0,16694,42,151,1
resumen_matricula_2024,COD_PRO_RBD,int64,Codigo de provincia del establecimiento.,0,16694,56,151,1
resumen_matricula_2024,COD_REG_RBD,int64,Codigo de region del establecimiento.,0,16694,16,15,1
resumen_matricula_2024,CUR_COMB_01,int64,Cantidad de cursos combinados en subcategoria especifica.,0,16694,3,0,1
resumen_matricula_2024,CUR_COMB_02,int64,Cantidad de cursos combinados en subcategoria especifica.,0,16694,6,0,1
resumen_matricula_2024,CUR_COMB_TOT,int64,Cantidad de cursos combinados en subcategoria especifica.,0,16694,7,0,1
resumen_matricula_2024,CUR_SIM_01,int64,Cantidad de cursos simples en subcategoria especifica.,0,16694,18,0,1
resumen_matricula_2024,CUR_SIM_02,int64,Cantidad de cursos simples en subcategoria especifica.,0,16694,52,0,1
resumen_matricula_2024,CUR_SIM_03,int64,Cantidad de cursos simples en subcategoria especifica.,0,16694,15,0,1
resumen_matricula_2024,CUR_SIM_04,int64,Cantidad de cursos simples en subcategoria especifica.,0,16694,33,0,1
resumen_matricula_2024,CUR_SIM_05,int64,Cantidad de cursos simples en subcategoria especifica.,0,16694,42,0,1
resumen_matricula_2024,CUR_SIM_06,int64,Cantidad de cursos simples en subcategoria especifica.,0,16694,28,0,1
resumen_matricula_2024,CUR_SIM_07,int64,Cantidad de cursos simples en subcategoria especifica.,0,16694,40,25,1
resumen_matricula_2024,CUR_SIM_08,int64,Cantidad de cursos simples en subcategoria especifica.,0,16694,16,15,1
